time,temp
2025-02-20T02:00:00.000+02:00,-4.5
2025-02-20T03:00:00.000+02:00,-5.2
2025-02-20T04:00:00.000+02:00,-5.5
2025-02-20T05:00:00.000+02:00,-6
2025-02-20T06:00:00.000+02:00,-6.8
2025-02-20T07:00:00.000+02:00,-7.5
2025-02-20T08:00:00.000+02:00,-6.9
2025-02-20T09:00:00.000+02:00,-6.6
2025-02-20T10:00:00.000+02:00,-5.2
2025-02-20T11:00:00.000+02:00,-3.7
2025-02-20T12:00:00.000+02:00,-2.1
2025-02-20T13:00:00.000+02:00,-0.9
2025-02-20T14:00:00.000+02:00,-0.2
2025-02-20T15:00:00.000+02:00,0.1
2025-02-20T16:00:00.000+02:00,-0.4
2025-02-20T17:00:00.000+02:00,-0.6
2025-02-20T18:00:00.000+02:00,-0.8
2025-02-20T19:00:00.000+02:00,-1
2025-02-20T20:00:00.000+02:00,-0.7
2025-02-20T21:00:00.000+02:00,-0.4
2025-02-20T22:00:00.000+02:00,-0.5
2025-02-20T23:00:00.000+02:00,-0.4
2025-02-21T00:00:00.000+02:00,-0.1
2025-02-21T01:00:00.000+02:00,-0.3
2025-02-21T02:00:00.000+02:00,-0.2
2025-02-21T03:00:00.000+02:00,-0.1
2025-02-21T04:00:00.000+02:00,-0.3
2025-02-21T05:00:00.000+02:00,-0.2
2025-02-21T06:00:00.000+02:00,0.3
2025-02-21T07:00:00.000+02:00,0.4
2025-02-21T08:00:00.000+02:00,0.5
2025-02-21T09:00:00.000+02:00,0.7
2025-02-21T10:00:00.000+02:00,1
2025-02-21T11:00:00.000+02:00,1.2
2025-02-21T12:00:00.000+02:00,1.1
2025-02-21T13:00:00.000+02:00,0.9
2025-02-21T14:00:00.000+02:00,0.8
2025-02-21T15:00:00.000+02:00,0.9
2025-02-21T16:00:00.000+02:00,1
2025-02-21T17:00:00.000+02:00,0.4
2025-02-21T18:00:00.000+02:00,0.8
2025-02-21T19:00:00.000+02:00,0.9
2025-02-21T20:00:00.000+02:00,1.2
2025-02-21T21:00:00.000+02:00,1.3
2025-02-21T22:00:00.000+02:00,1.5
2025-02-21T23:00:00.000+02:00,1.6
2025-02-22T00:00:00.000+02:00,1.7
2025-02-22T01:00:00.000+02:00,1.8
